Algorithm,Day,Time,Capacity,Trucks,Time_Limit_Mins,Total_Satisfied,Stations_Visited
Nearest Neighbor,Monday,06:00-09:00,20,1,60,8,10
Greedy Demand,Monday,06:00-09:00,20,1,60,11,3
Nearest Neighbor,Monday,06:00-09:00,20,2,60,21,20
Greedy Demand,Monday,06:00-09:00,20,2,60,22,7
Nearest Neighbor,Monday,06:00-09:00,20,3,60,31,28
Greedy Demand,Monday,06:00-09:00,20,3,60,36,14
Nearest Neighbor,Monday,06:00-09:00,20,4,60,38,36
Greedy Demand,Monday,06:00-09:00,20,4,60,49,21
Nearest Neighbor,Monday,06:00-09:00,20,5,60,48,44
Greedy Demand,Monday,06:00-09:00,20,5,60,61,27
Nearest Neighbor,Monday,06:00-09:00,20,1,90,14,15
Greedy Demand,Monday,06:00-09:00,20,1,90,23,8
Nearest Neighbor,Monday,06:00-09:00,20,2,90,30,29
Greedy Demand,Monday,06:00-09:00,20,2,90,32,12
Nearest Neighbor,Monday,06:00-09:00,20,3,90,42,42
Greedy Demand,Monday,06:00-09:00,20,3,90,54,24
Nearest Neighbor,Monday,06:00-09:00,20,4,90,58,55
Greedy Demand,Monday,06:00-09:00,20,4,90,72,33
Nearest Neighbor,Monday,06:00-09:00,20,5,90,65,65
Greedy Demand,Monday,06:00-09:00,20,5,90,79,38
Nearest Neighbor,Monday,06:00-09:00,20,1,120,22,20
Greedy Demand,Monday,06:00-09:00,20,1,120,31,12
Nearest Neighbor,Monday,06:00-09:00,20,2,120,39,38
Greedy Demand,Monday,06:00-09:00,20,2,120,50,21
Nearest Neighbor,Monday,06:00-09:00,20,3,120,60,56
Greedy Demand,Monday,06:00-09:00,20,3,120,77,36
Nearest Neighbor,Monday,06:00-09:00,20,4,120,71,71
Greedy Demand,Monday,06:00-09:00,20,4,120,90,47
Nearest Neighbor,Monday,06:00-09:00,20,5,120,82,88
Greedy Demand,Monday,06:00-09:00,20,5,120,107,64
Nearest Neighbor,Monday,06:00-09:00,20,1,150,26,25
Greedy Demand,Monday,06:00-09:00,20,1,150,25,8
Nearest Neighbor,Monday,06:00-09:00,20,2,150,47,48
Greedy Demand,Monday,06:00-09:00,20,2,150,55,27
Nearest Neighbor,Monday,06:00-09:00,20,3,150,71,71
Greedy Demand,Monday,06:00-09:00,20,3,150,77,42
Nearest Neighbor,Monday,06:00-09:00,20,4,150,85,91
Greedy Demand,Monday,06:00-09:00,20,4,150,99,64
Nearest Neighbor,Monday,06:00-09:00,20,5,150,96,109
Greedy Demand,Monday,06:00-09:00,20,5,150,118,83
Nearest Neighbor,Monday,06:00-09:00,20,1,180,31,30
Greedy Demand,Monday,06:00-09:00,20,1,180,35,13
Nearest Neighbor,Monday,06:00-09:00,20,2,180,51,56
Greedy Demand,Monday,06:00-09:00,20,2,180,67,34
Nearest Neighbor,Monday,06:00-09:00,20,3,180,78,85
Greedy Demand,Monday,06:00-09:00,20,3,180,93,59
Nearest Neighbor,Monday,06:00-09:00,20,4,180,94,109
Greedy Demand,Monday,06:00-09:00,20,4,180,117,83
Nearest Neighbor,Monday,06:00-09:00,20,5,180,120,129
Greedy Demand,Monday,06:00-09:00,20,5,180,123,98
Nearest Neighbor,Monday,06:00-09:00,40,1,60,8,10
Greedy Demand,Monday,06:00-09:00,40,1,60,11,3
Nearest Neighbor,Monday,06:00-09:00,40,2,60,21,20
Greedy Demand,Monday,06:00-09:00,40,2,60,22,7
Nearest Neighbor,Monday,06:00-09:00,40,3,60,31,28
Greedy Demand,Monday,06:00-09:00,40,3,60,36,14
Nearest Neighbor,Monday,06:00-09:00,40,4,60,38,36
Greedy Demand,Monday,06:00-09:00,40,4,60,49,21
Nearest Neighbor,Monday,06:00-09:00,40,5,60,48,44
Greedy Demand,Monday,06:00-09:00,40,5,60,61,27
Nearest Neighbor,Monday,06:00-09:00,40,1,90,14,15
Greedy Demand,Monday,06:00-09:00,40,1,90,23,8
Nearest Neighbor,Monday,06:00-09:00,40,2,90,30,29
Greedy Demand,Monday,06:00-09:00,40,2,90,32,12
Nearest Neighbor,Monday,06:00-09:00,40,3,90,42,42
Greedy Demand,Monday,06:00-09:00,40,3,90,56,24
Nearest Neighbor,Monday,06:00-09:00,40,4,90,58,55
Greedy Demand,Monday,06:00-09:00,40,4,90,74,33
Nearest Neighbor,Monday,06:00-09:00,40,5,90,65,65
Greedy Demand,Monday,06:00-09:00,40,5,90,81,38
Nearest Neighbor,Monday,06:00-09:00,40,1,120,22,20
Greedy Demand,Monday,06:00-09:00,40,1,120,31,12
Nearest Neighbor,Monday,06:00-09:00,40,2,120,39,38
Greedy Demand,Monday,06:00-09:00,40,2,120,50,21
Nearest Neighbor,Monday,06:00-09:00,40,3,120,60,56
Greedy Demand,Monday,06:00-09:00,40,3,120,77,36
Nearest Neighbor,Monday,06:00-09:00,40,4,120,71,71
